record_set,benchmark,memory_system,scope,model_label,scale,budget,n,unbudgeted_success_count,pass_count,wrong_within_budget_count,budget_exhausted_count,unbudgeted_success,pass_at_b,p_wrong,p_exh,mean_calls,median_calls,p90_calls
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,200,4,500,15,15,483,2,0.03,0.03,0.966,0.004,1.156,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,200,5,500,15,15,485,0,0.03,0.03,0.97,0.0,1.156,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,200,6,500,15,15,485,0,0.03,0.03,0.97,0.0,1.156,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,300,1,500,17,16,419,65,0.034,0.032,0.838,0.13,1.176,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,300,2,500,17,17,467,16,0.034,0.034,0.934,0.032,1.176,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,300,3,500,17,17,478,5,0.034,0.034,0.956,0.01,1.176,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,300,4,500,17,17,481,2,0.034,0.034,0.962,0.004,1.176,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,300,5,500,17,17,483,0,0.034,0.034,0.966,0.0,1.176,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,300,6,500,17,17,483,0,0.034,0.034,0.966,0.0,1.176,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,400,1,500,12,11,420,69,0.024,0.022,0.84,0.138,1.216,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,400,2,500,12,12,466,22,0.024,0.024,0.932,0.044,1.216,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,400,3,500,12,12,481,7,0.024,0.024,0.962,0.014,1.216,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,400,4,500,12,12,482,6,0.024,0.024,0.964,0.012,1.216,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,400,5,500,12,12,484,4,0.024,0.024,0.968,0.008,1.216,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,400,6,500,12,12,488,0,0.024,0.024,0.976,0.0,1.216,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,0,1,500,235,193,161,146,0.47,0.386,0.322,0.292,2.156,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,0,2,500,235,205,180,115,0.47,0.41,0.36,0.23,2.156,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,0,3,500,235,206,185,109,0.47,0.412,0.37,0.218,2.156,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,0,4,500,235,206,188,106,0.47,0.412,0.376,0.212,2.156,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,0,5,500,235,207,191,102,0.47,0.414,0.382,0.204,2.156,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,0,6,500,235,235,265,0,0.47,0.47,0.53,0.0,2.156,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,100,1,500,2,2,267,231,0.004,0.004,0.534,0.462,2.67,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,100,2,500,2,2,312,186,0.004,0.004,0.624,0.372,2.67,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,100,3,500,2,2,330,168,0.004,0.004,0.66,0.336,2.67,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,100,4,500,2,2,357,141,0.004,0.004,0.714,0.282,2.67,1.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 8B,100,5,500,2,2,389,109,0.004,0.004,0.778,0.218,2.67,1.0,6.0
